,,,,,,,
,,,,,,,
,,,,, INVOICE ,,
,,,,,,,
,,,,,,,
,,,,,,,
, GimBooks ,,,,,,
, [Street Address] ,,,, DATE ,12-05-2026,
," [City, ST  ZIP] ",,,, INVOICE # , [123456] ,
, Phone: [000-000-0000] ,,,, CUSTOMER ID , [123] ,
, Fax: [000-000-0000] ,,,, DUE DATE ,16-09-2024,
, Website: somedomain@gmail.com ,,,,,,
,,,,,,,
, BILL TO ,,,,,,
, [Name] ,,,,,,
, [Company Name] ,,,,,,
, [Street Address] ,,,,,,
," [City, ST  ZIP] ",,,,,,
, [Phone] ,,,,,,
,,,,,,,
, No.   , PRODUCT , DESCRIPTION , QTY , Price , AMOUNT ,
,1, Cloth , abc ,3, ₹ 110.00 , ₹ 330.00 ,
,2, Furniture ," White wool, cashmere ",5, ₹ 550.00 ," ₹ 2,750.00 ",
,3, Monitor , LCD monitor ,10," ₹ 1,101.00 "," ₹ 11,010.00 ",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,, [42] , Subtotal ," ₹ 14,090.00 ",
,,,,, Discount , ₹ 140.90 ,
,,, Terms & Conditions ,, Tax amount , ₹ 704.50 ,
,,, 1. Total payment due in 30 days ,, Tax due ,,
,,, 2. Please include the invoice number on your check ,, Other , ₹ -   ,
,,,,, TOTAL ," ₹ 13,244.60 ",
,,,,,,,
,,,,, Make all checks payable to ,,
,,,,, [Your Company Name] ,,
,,,,,,,
,,,,,,,
,," If you have any questions about this invoice, please contact ",,,,,
,,," [Name, Phone #, E-mail] ",,,,
,,, Thank You For Your Business! ,,,,
,,,,,,,
,,,,,,,
